Date,Link,OptionText
2023-08-02 13:44:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7092461911434268672,Super helpful - using daily
2023-07-08 13:45:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:7083430925794963456,Yes!
2023-07-03 02:06:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7081420831985168384,Python
2023-04-26 01:14:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7056788384643502080,Microsoft
2023-04-06 18:21:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:7049806967514529792,Yes
2023-04-06 16:04:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:7049762308423643136,LinkedIn
2023-03-14 20:53:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7041490060780720128,No
2023-02-27 17:41:20,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7035947624847294464,Tone of voice
2023-02-04 02:28:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:7027446924844642304,More than 150
2023-01-20 06:29:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7022086248622174208,Yes
2023-01-16 17:57:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7020809535565045760,Slack 
2023-01-13 00:49:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7019451301969244160,Yes
2023-01-10 04:58:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:7018439067868553216,Multi-Class Classification
2023-01-07 20:18:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:7017543021109948417,No
2023-01-07 20:18:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7017517813892358144,Gold and Silver
2022-11-27 10:12:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:7002461164555132928,More than Rs 30 lacs
2022-10-18 22:29:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6988037436291375104,Exercise
2022-10-10 08:11:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6985109754213765120,No ❌
2022-09-15 08:09:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6975995476441534464,No
2022-08-26 13:45:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6968914975989903362,y = mx + c
2022-08-06 00:42:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6961092700154593280,Instagram
2022-06-02 06:57:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6937988869426413568,New Zealand
2022-05-05 18:39:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6928048607535263745,It Depends 🤔
2022-04-21 04:41:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6922766082143322112,More Exposure
2022-04-14 17:29:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6920419268924723200,Kind Of... - 3.0+
2022-04-11 02:21:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6919100167208001536,"Startup, Good Role but Paycut"
2022-03-22 04:52:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6911885778184810496,Yes
2022-03-20 04:04:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6911157570137165824,Get a Job
2022-03-15 19:03:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6909503461319393280,Elon Musk
2022-03-10 14:34:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6907686334782406656,Building your startup 🚀
2022-03-04 21:42:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6905360465141014528,Yes
2022-02-26 20:08:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6903425184309628928,"No, I feel lonely"
2022-02-08 01:32:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:6895604992036655105,15-30 mins
2022-02-02 01:18:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6894395293664714752,Email
2022-01-18 23:27:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887269476375556096,Youtube
2022-01-18 22:56:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6889194195181940736,import numpy as pd
2022-01-14 19:48:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887673724259188736,Tableau
2022-01-14 01:40:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887133024840945665,Yes!
2021-12-07 23:28:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6871766230869573634,Hindi
2021-11-28 18:30:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6870257517834895360,Mac
2021-10-26 05:47:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6858011466784657408,Internship Opportunities
2021-10-24 21:55:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6857997041172287488,Hindi
2021-10-21 04:26:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856771843584589824,2-3 yrs
2021-10-17 10:03:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6855377025805492224,1. Deloitte
2021-10-14 18:45:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6854410618892533760,No Money to buy Food
2021-10-14 15:06:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:6854262182629175296,Numbers for Mac
2021-10-12 21:45:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6853627712989364224,Google
2021-09-21 15:19:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6845185991305637888,Neither expensive nor cheap
2021-07-09 03:56:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6817947720318300160,Model Training + Deployment
2021-07-08 11:06:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:6818810939714920448,MacBook Air 8 GB ram but M1 
2021-07-08 11:06:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6818721519645147136,ML Ops
2021-06-19 06:25:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6811613509126828032,No!
2021-06-18 04:04:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6811269612445995008,I’d love to read this
2021-06-16 05:50:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810548364485242880,I have done it but it’s rare
2021-06-15 09:06:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6810457793162747904,Single Page Resume
2021-06-14 12:05:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6809946268027105280,WFH 1/2 days a week
2021-06-13 03:04:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:6809513537413767168,"Don't ask me that, please. "
2021-06-13 03:03:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6809486857966026752,21-26
2021-06-12 07:21:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:6809100816885047296,To be Happy and Free
2021-06-10 18:35:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6808635510983028737,Leadership is a Responsibility
2021-06-10 18:35:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6808513033346805760,Data Scientist
2021-06-10 18:35:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6808755123519545345,Gift Card
2021-05-27 16:11:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6803705163279417344,Yes
2021-05-26 05:03:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:6803169251248148480,No
2021-05-20 19:30:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6801169362406440960,Yes!! 
2021-05-20 05:10:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6800989368967278592,Im #BreakingIntoDataScience rn
2021-05-19 08:33:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6800677495436828672,"Yes, and I'm still holding "
2021-05-17 04:57:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:6799768324520710144,Yes
2021-05-14 08:58:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6798864098160377856,Yale Silver Scholars
2021-05-10 20:04:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6797559722028400640,Covisheild
2021-05-08 15:58:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6796822270259064832,Text bio 
2021-04-21 18:12:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6790278417095946240,Indeed
2021-04-19 07:46:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:6789351324174618624,Yes - absolutely
2021-04-02 17:05:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6783788228483936256,Illinois Tech - Chicago
2021-04-02 04:57:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6782725496623947776,Less than a year is ok
2021-04-01 18:23:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6783359108293648384,Intermediate (no DSA)
2021-03-28 15:06:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6781860772134891520,No
2021-03-28 10:45:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6781824489564049408,Project
2021-03-28 10:45:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6781828741954969600,To Learn Business Acumen 
2021-03-24 06:55:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6780332538721386497,Vision
2021-03-23 11:06:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6779831820553883648,"University of Colorado,Boulder"
2021-03-21 02:17:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6779129472496009216,Resting
2021-03-19 03:24:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6777886597158465536,Indifferent
2021-03-04 18:04:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6773274815416594432,False
2021-03-04 18:04:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:6773251074750054400,21+
2021-03-04 18:03:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6773276944566927360,B
2021-02-27 08:38:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6771037778508705792,LinkedIn
2021-02-24 15:38:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6770208282666704896,Python
2021-02-18 16:35:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6768089261825695744,Don't have any guiding mentors
2020-12-09 04:31:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6742004008438820865,Download (a PDF/E-book)
2020-11-04 17:38:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6728084255559233536,Sexy
2020-11-04 17:37:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6729626434165379072,Biden
2020-06-14 19:14:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6677521196009058304, Machine Learning
2020-05-14 15:23:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6666683750862196736,Data Analysis
